native,0.000(0.000),0.003(0.001),4.212(0.282),4.072(0.043),28.594(0.188),7.938(0.077),3.036(0.018),16.453(0.124),1.792(0.007)
ssvm,0.007(0.001),0.009(0.001),4.724(0.035),4.568(0.031),32.099(0.299),9.766(0.107),5.256(0.054),13.150(0.157),2.287(0.049)
lucet,0.002(0.000),0.003(0.000),6.490(0.115),7.151(0.068),66.763(0.335),0.002(0.000),0.001(0.000),0.008(0.001),3.966(0.075)
wavm,0.028(0.018),0.021(0.003),4.711(0.026),4.143(0.052),33.071(0.154),9.780(0.508),5.430(0.116),14.365(0.112),2.226(0.029)
wasmer_singlepass,0.005(0.001),0.007(0.001),14.315(0.124),14.340(0.275),68.709(0.244),41.803(0.120),0.006(0.000),36.554(0.143),4.351(0.089)
wasmer_cranelift,0.005(0.001),0.007(0.000),5.429(0.094),5.534(0.108),63.919(1.227),17.019(0.186),5.557(0.076),26.636(0.319),4.628(0.009)
wasmer_llvm,0.004(0.000),0.007(0.000),4.213(0.073),4.233(0.017),32.040(0.237),13.647(0.124),11.301(0.129),13.952(0.171),1.836(0.006)
wasmer_singlepass_native,0.054(0.054),0.052(0.052),0.054(0.054),0.053(0.053),0.054(0.055),0.055(0.055),0.004(0.000),0.054(0.055),0.052(0.052)
wasmer_cranelift_native,0.004(0.000),0.007(0.000),5.393(0.046),5.564(0.116),62.075(0.124),17.186(0.152),5.585(0.099),27.500(0.162),4.713(0.019)
wasmer_llvm_native,0.004(0.000),0.007(0.000),4.209(0.087),4.274(0.026),32.543(0.222),13.282(0.114),11.382(0.202),15.952(0.310),1.844(0.008)
wasmer_jit,0.004(0.000),0.007(0.000),5.445(0.170),5.506(0.055),62.680(0.229),17.039(0.122),0.004(0.000),26.711(0.107),4.708(0.044)
v8,0.000(0.000),0.000(0.000),0.000(0.000),0.000(0.000),0.000(0.000),0.000(0.000),0.000(0.000),0.000(0.000),0.000(0.000)
docker,0.435(0.016),0.449(0.010),4.269(0.073),4.290(0.027),27.853(0.129),8.984(0.124),4.285(0.144),17.251(0.396),14.658(0.219)
